id,device_id,temperature,pH,tds,turbidity,conductivity,timestamp
1,DEVICE_002,23.4,7.3,264.5,0.3,56.2,2026-03-16 07:17:57.869028
2,DEVICE_001,21.4,7.18,287.5,0.58,140.5,2026-03-16 07:47:57.869028
3,DEVICE_003,21.0,7.36,160.3,0.73,106.3,2026-03-16 08:17:57.869028
4,DEVICE_003,24.4,6.64,130.5,0.82,119.2,2026-03-16 08:47:57.869028
5,DEVICE_002,16.1,6.68,69.8,0.72,129.3,2026-03-16 09:17:57.869028
6,DEVICE_003,19.8,7.9,152.3,0.39,94.8,2026-03-16 09:47:57.869028
7,DEVICE_002,21.8,4.56,298.9,0.55,96.8,2026-03-16 10:17:57.869028
8,DEVICE_003,15.8,7.9,163.8,0.54,64.8,2026-03-16 10:47:57.869028
9,DEVICE_002,24.5,8.92,259.4,0.56,96.5,2026-03-16 11:17:57.869028
10,DEVICE_002,17.2,7.95,66.8,0.14,54.9,2026-03-16 11:47:57.869028
11,DEVICE_002,17.8,8.13,728.3,0.62,112.8,2026-03-16 12:17:57.869028
12,DEVICE_003,17.0,7.13,98.9,0.57,67.3,2026-03-16 12:47:57.869028
13,DEVICE_003,21.0,7.86,261.4,0.2,111.4,2026-03-16 13:17:57.869028
14,DEVICE_001,18.9,6.87,151.8,0.22,96.1,2026-03-16 13:47:57.869028
15,DEVICE_003,20.8,6.69,142.0,0.57,145.9,2026-03-16 14:17:57.869028
16,DEVICE_001,15.9,7.21,248.8,0.43,121.5,2026-03-16 14:47:57.869028
17,DEVICE_003,23.1,7.21,169.8,3.07,139.4,2026-03-16 15:17:57.869028
18,DEVICE_002,24.7,9.93,285.2,0.89,93.8,2026-03-16 15:47:57.869028
19,DEVICE_002,19.7,7.08,67.4,0.88,75.3,2026-03-16 16:17:57.869028
20,DEVICE_001,18.5,6.79,225.7,0.72,95.0,2026-03-16 16:47:57.869028
21,DEVICE_003,19.5,9.72,206.7,0.11,147.8,2026-03-16 17:17:57.869028
22,DEVICE_003,23.7,6.7,95.0,0.53,61.1,2026-03-16 17:47:57.869028
23,DEVICE_001,21.2,8.19,268.5,0.62,138.3,2026-03-16 18:17:57.869028
24,DEVICE_001,24.2,8.19,595.0,0.44,95.8,2026-03-16 18:47:57.869028
25,DEVICE_002,17.8,7.25,275.1,0.44,66.2,2026-03-16 19:17:57.869028
26,DEVICE_003,22.5,8.21,70.7,0.2,138.6,2026-03-16 19:47:57.869028
27,DEVICE_001,24.4,7.37,136.0,0.25,89.8,2026-03-16 20:17:57.869028
28,DEVICE_001,16.0,8.47,187.3,0.17,99.2,2026-03-16 20:47:57.869028
29,DEVICE_001,22.2,7.53,95.5,0.44,52.9,2026-03-16 21:17:57.869028
30,DEVICE_003,12.1,7.61,183.0,0.87,92.7,2026-03-16 21:47:57.869028
