device_id,pH,tds,turbidity,conductivity,temperature,timestamp,created_at
DEVICE_001,7.23,184.53,0.55,121.95,24.68,2026-04-16 16:10:32,2026-04-16 16:10:32
DEVICE_002,7.18,182.47,0.61,120.05,24.74,2026-04-16 16:10:32,2026-04-16 16:10:32
DEVICE_003,7.16,179.91,0.65,121.7,25.45,2026-04-16 16:10:32,2026-04-16 16:10:32
DEVICE_001,7.24,179.71,0.58,121.04,24.71,2026-04-16 16:40:32,2026-04-16 16:10:32
DEVICE_002,7.15,185.87,0.58,119.87,24.61,2026-04-16 16:40:32,2026-04-16 16:10:32
DEVICE_003,7.19,175.85,0.65,122.27,25.42,2026-04-16 16:40:32,2026-04-16 16:10:32
DEVICE_001,7.27,183.73,0.63,121.2,24.53,2026-04-16 17:10:32,2026-04-16 16:10:32
DEVICE_002,7.18,189.75,0.62,119.12,24.66,2026-04-16 17:10:32,2026-04-16 16:10:32
DEVICE_003,7.2,180.75,0.69,123.81,25.52,2026-04-16 17:10:32,2026-04-16 16:10:32
DEVICE_001,7.25,290.39,2.04,122.44,24.59,2026-04-16 17:40:32,2026-04-16 16:10:32
DEVICE_002,7.18,192.95,0.63,119.61,24.57,2026-04-16 17:40:32,2026-04-16 16:10:32
DEVICE_003,7.24,183.02,0.7,122.64,25.73,2026-04-16 17:40:32,2026-04-16 16:10:32
DEVICE_001,7.22,286.12,1.5,123.81,24.54,2026-04-16 18:10:32,2026-04-16 16:10:32
DEVICE_002,7.19,195.18,0.63,121.04,24.08,2026-04-16 18:10:32,2026-04-16 16:10:32
DEVICE_003,7.23,180.82,0.72,121.51,25.39,2026-04-16 18:10:32,2026-04-16 16:10:32
DEVICE_001,7.21,285.78,1.49,123.75,24.75,2026-04-16 18:40:32,2026-04-16 16:10:32
DEVICE_002,7.19,199.63,0.62,120.48,24.16,2026-04-16 18:40:32,2026-04-16 16:10:32
DEVICE_003,7.25,176.38,0.68,121.06,25.59,2026-04-16 18:40:32,2026-04-16 16:10:32
DEVICE_001,7.23,286.17,1.5,122.49,25.21,2026-04-16 19:10:32,2026-04-16 16:10:32
